grade,level,number,pack_id,topic,topic_slug,topic_group,status,notes
G1,MGT,0028,g1_mgt_0028,Technology Topic 03,mgt-technology-03,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0029,g1_mgt_0029,Teamwork Topic 03,mgt-teamwork-03,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0030,g1_mgt_0030,Problem Solving Topic 03,mgt-problem-solving-03,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0031,g1_mgt_0031,School Projects Topic 04,mgt-school-projects-04,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0032,g1_mgt_0032,Community Events Topic 04,mgt-community-events-04,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0033,g1_mgt_0033,Science Topic 04,mgt-science-04,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0034,g1_mgt_0034,Environment Topic 04,mgt-environment-04,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0035,g1_mgt_0035,History Topic 04,mgt-history-04,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0036,g1_mgt_0036,Art Topic 04,mgt-art-04,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0037,g1_mgt_0037,Travel Topic 04,mgt-travel-04,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0038,g1_mgt_0038,Technology Topic 04,mgt-technology-04,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0039,g1_mgt_0039,Teamwork Topic 04,mgt-teamwork-04,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0040,g1_mgt_0040,Problem Solving Topic 04,mgt-problem-solving-04,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0041,g1_mgt_0041,School Projects Topic 05,mgt-school-projects-05,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0042,g1_mgt_0042,Community Events Topic 05,mgt-community-events-05,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0043,g1_mgt_0043,Science Topic 05,mgt-science-05,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0044,g1_mgt_0044,Environment Topic 05,mgt-environment-05,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0045,g1_mgt_0045,History Topic 05,mgt-history-05,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0046,g1_mgt_0046,Art Topic 05,mgt-art-05,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0047,g1_mgt_0047,Travel Topic 05,mgt-travel-05,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0048,g1_mgt_0048,Technology Topic 05,mgt-technology-05,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0049,g1_mgt_0049,Teamwork Topic 05,mgt-teamwork-05,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0050,g1_mgt_0050,Problem Solving Topic 05,mgt-problem-solving-05,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0051,g1_mgt_0051,School Projects Topic 06,mgt-school-projects-06,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0052,g1_mgt_0052,Community Events Topic 06,mgt-community-events-06,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0053,g1_mgt_0053,Science Topic 06,mgt-science-06,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0054,g1_mgt_0054,Environment Topic 06,mgt-environment-06,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0055,g1_mgt_0055,History Topic 06,mgt-history-06,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0056,g1_mgt_0056,Art Topic 06,mgt-art-06,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0057,g1_mgt_0057,Travel Topic 06,mgt-travel-06,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0058,g1_mgt_0058,Technology Topic 06,mgt-technology-06,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0059,g1_mgt_0059,Teamwork Topic 06,mgt-teamwork-06,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0060,g1_mgt_0060,Problem Solving Topic 06,mgt-problem-solving-06,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0061,g1_mgt_0061,School Projects Topic 07,mgt-school-projects-07,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0062,g1_mgt_0062,Community Events Topic 07,mgt-community-events-07,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0063,g1_mgt_0063,Science Topic 07,mgt-science-07,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0064,g1_mgt_0064,Environment Topic 07,mgt-environment-07,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0065,g1_mgt_0065,History Topic 07,mgt-history-07,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0066,g1_mgt_0066,Art Topic 07,mgt-art-07,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0067,g1_mgt_0067,Travel Topic 07,mgt-travel-07,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0068,g1_mgt_0068,Technology Topic 07,mgt-technology-07,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0069,g1_mgt_0069,Teamwork Topic 07,mgt-teamwork-07,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0070,g1_mgt_0070,Problem Solving Topic 07,mgt-problem-solving-07,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0071,g1_mgt_0071,School Projects Topic 08,mgt-school-projects-08,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0072,g1_mgt_0072,Community Events Topic 08,mgt-community-events-08,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0073,g1_mgt_0073,Science Topic 08,mgt-science-08,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0074,g1_mgt_0074,Environment Topic 08,mgt-environment-08,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0075,g1_mgt_0075,History Topic 08,mgt-history-08,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0076,g1_mgt_0076,Art Topic 08,mgt-art-08,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0077,g1_mgt_0077,Travel Topic 08,mgt-travel-08,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0078,g1_mgt_0078,Technology Topic 08,mgt-technology-08,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0079,g1_mgt_0079,Teamwork Topic 08,mgt-teamwork-08,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0080,g1_mgt_0080,Problem Solving Topic 08,mgt-problem-solving-08,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0081,g1_mgt_0081,School Projects Topic 09,mgt-school-projects-09,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0082,g1_mgt_0082,Community Events Topic 09,mgt-community-events-09,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0083,g1_mgt_0083,Science Topic 09,mgt-science-09,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0084,g1_mgt_0084,Environment Topic 09,mgt-environment-09,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0085,g1_mgt_0085,History Topic 09,mgt-history-09,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0086,g1_mgt_0086,Art Topic 09,mgt-art-09,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0087,g1_mgt_0087,Travel Topic 09,mgt-travel-09,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0088,g1_mgt_0088,Technology Topic 09,mgt-technology-09,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0089,g1_mgt_0089,Teamwork Topic 09,mgt-teamwork-09,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0090,g1_mgt_0090,Problem Solving Topic 09,mgt-problem-solving-09,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0091,g1_mgt_0091,School Projects Topic 10,mgt-school-projects-10,school-projects,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0092,g1_mgt_0092,Community Events Topic 10,mgt-community-events-10,community-events,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0093,g1_mgt_0093,Science Topic 10,mgt-science-10,science,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0094,g1_mgt_0094,Environment Topic 10,mgt-environment-10,environment,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0095,g1_mgt_0095,History Topic 10,mgt-history-10,history,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0096,g1_mgt_0096,Art Topic 10,mgt-art-10,art,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0097,g1_mgt_0097,Travel Topic 10,mgt-travel-10,travel,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0098,g1_mgt_0098,Technology Topic 10,mgt-technology-10,technology,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0099,g1_mgt_0099,Teamwork Topic 10,mgt-teamwork-10,teamwork,planned,Replace placeholder topic text with reviewed content before student release.
G1,MGT,0100,g1_mgt_0100,Problem Solving Topic 10,mgt-problem-solving-10,problem-solving,planned,Replace placeholder topic text with reviewed content before student release.
